title,description,tags,playlist,copyright_claim,comments,watch_time,audience_retention,likes_vs_dislikes,week_no,duration_sec,views,revenue
77,488,443,2,1,103,788,0.3,0.993,2,848,11015,2.02
62,569,434,1,0,64,141,0.496,0.972,52,207,4940,1.42
53,161,234,1,0,220,245,0.63,0.997,52,156,8917,2.07
58,1502,202,1,0,179,309,0.6,0.992,26,112,16436,2.69
59,1502,245,1,0,177,562,0.605,0.992,23,127,26174,4.06
86,1502,320,1,0,198,557,0.67,0.991,17,105,28247,3.56
69,1490,335,1,0,145,299,0.654,0.981,13,76,21432,2.88
61,1502,256,1,0,241,877,0.664,0.988,12,131,36033,4.24
73,1561,312,1,0,177,1200,0.469,0.99,10,138,68714,8.42
59,1502,328,2,0,157,627,0.51,0.988,9,157,27586,3.12
50,1634,496,1,0,190,522,0.64,0.988,7,126,23157,2.3
54,1502,271,1,0,279,1100,0.631,0.995,6,121,52729,4.22
60,1617,426,1,0,360,477,0.606,0.985,4,120,23456,2.45
63,1502,303,1,0,66,560,0.645,0.984,4,30,100958,7.33
90,1912,373,1,0,194,1300,0.616,0.991,3,165,44621,5.21
83,1502,421,2,0,144,718,0.622,0.988,2,143,28858,2.67
95,1583,483,1,0,268,2500,0.544,0.985,1,194,83625,8.87
83,1730,247,1,0,205,910,0.614,0.988,52,125,42361,3.76
100,1686,319,1,0,262,932,0.519,0.98,50,177,36315,6.64
71,1562,406,1,0,251,1500,0.484,0.982,49,158,71003,9.18
89,1656,325,1,0,302,1300,0.614,0.994,48,137,55696,6.43
89,1569,342,1,0,409,2800,0.55,0.986,47,146,123365,16.57
84,1630,303,1,0,233,1000,0.592,0.991,46,117,51638,8.91
77,1633,201,1,0,397,484,0.537,0.993,45,154,20958,3.75
71,1508,328,2,0,256,1100,0.655,0.99,44,126,47907,5.59
97,1626,500,2,0,294,1900,0.629,0.991,43,133,83048,11.75
98,1617,495,1,0,195,883,0.6,0.989,42,139,37896,6.97
84,1502,341,1,0,181,491,0.563,0.984,41,134,23259,3.44
98,1512,319,1,0,228,1100,0.627,0.993,40,132,48347,4.93
94,1502,287,1,0,126,456,0.68,0.985,38,80,29857,3.89
100,1520,412,1,0,290,1400,0.571,0.991,37,219,41221,6.53
69,1521,391,1,0,176,1100,0.634,0.992,36,138,45777,5.42
70,1517,390,2,0,200,948,0.561,0.993,35,158,38268,4.8
97,1667,500,1,0,324,4600,0.559,0.99,34,216,134992,17.66
94,1513,294,1,0,200,941,0.591,0.991,32,120,47430,6.34
84,1521,494,2,0,179,924,0.486,0.988,31,184,37004,4.99
99,1727,500,2,0,430,8000,0.555,0.979,30,213,246010,30.49
94,1521,496,2,0,142,570,0.628,0.981,29,110,29478,3.42
99,1521,496,1,0,234,1100,0.554,0.979,28,164,43639,5.38
99,1511,473,1,0,657,1300,0.5,0.989,27,166,57399,7.37
90,1511,478,2,1,50,192,0.559,0.968,27,67,18188,1.41
98,1928,496,2,1,387,3900,0.515,0.99,26,264,102929,14.71
100,1511,498,1,0,354,2500,0.601,0.986,25,166,89857,13.35
91,1509,499,1,0,186,1100,0.447,0.989,24,222,40679,7.05
93,1582,500,2,0,326,9600,0.53,0.978,19,196,331975,35.06
79,1642,498,1,0,135,1000,0.575,0.984,18,125,51726,6.38
76,1731,500,0,0,127,755,0.605,0.99,15,140,31914,3.93
90,1522,485,1,0,230,2000,0.613,0.987,14,91,129931,11.72
100,1648,493,3,0,335,7000,0.575,0.985,13,149,292736,49.2
91,1805,500,2,0,1119,40900,0.531,0.964,12,156,1765419,170.09
96,1503,482,1,1,305,2700,0.599,0.98,11,120,135064,16.47
100,1531,475,1,0,428,4900,0.556,0.987,9,219,145490,0.0
95,1755,467,2,0,957,3100,0.477,0.99,8,231,102233,18.4
93,1808,495,2,0,526,6000,0.524,0.983,8,230,179542,29.07
83,1792,479,1,0,193,3500,0.525,0.988,7,200,118954,16.99
89,1831,492,1,1,117,1600,0.609,0.986,7,122,78635,9.32
98,1562,463,1,0,79,2800,0.576,0.981,6,40,425685,0.0
94,1812,434,1,1,127,825,0.542,0.982,5,182,29975,3.38
86,1736,436,1,0,370,5900,0.484,0.981,5,211,208151,21.05
84,1608,357,1,0,290,2400,0.6,0.988,4,119,117857,14.72
92,1709,447,2,0,313,5500,0.544,0.986,4,176,205518,36.08
85,1637,485,2,0,524,15500,0.579,0.982,2,142,672446,47.23
